id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
815854403258036200,Rental unit in Vienna · ★4.61 · Studio · 1 bed · 1 bath,280891183,Kai,,Wieden,48.19857,16.37015,Entire home/apt,72,1,33,2023-08-23,4.71,23,151,33,
808582600465631264,Rental unit in Vienna · 1 bedroom · 2 beds · 1 shared bath,496917260,Majde,,Brigittenau,48.23839,16.38215,Private room,68,1,1,2023-02-17,0.15,19,9,1,
808596175981948121,Home in Vienna · ★4.64 · 2 bedrooms · 3 beds · 1 bath,497067091,Linda,,Floridsdorf,48.283920341840755,16.44993847118632,Entire home/apt,57,3,11,2023-08-20,1.54,1,133,11,
815867543303191633,Home in Vienna · 6 bedrooms · 6 beds · 6.5 baths,433540510,Nadine,,Meidling,48.17649,16.33979,Entire home/apt,901,4,0,,,11,235,0,
815894323522188585,Rental unit in Vienna · ★4.75 · 1 bedroom · 3 beds · 1 bath,323912303,Karin,,Margareten,48.18621657463039,16.362519664244044,Entire home/apt,84,3,8,2023-08-20,1.22,5,103,8,
808799892834772193,Rental unit in Vienna · 1 bedroom · 1 bed · 1 shared bath,292811726,Lou,,Margareten,48.18427772884446,16.367195378065233,Private room,37,5,0,,,1,365,0,
815940552761564500,Condo in Vienna · ★4.96 · 1 bedroom · 1 bed · 1 bath,124673420,Sebastian,,Margareten,48.18457250191352,16.3658835041918,Entire home/apt,105,1,57,2023-09-05,9.00,4,66,57,
815953736128615001,Rental unit in Vienna · ★4.88 · 1 bedroom · 1 bed · 1.5 shared baths,430199533,John,,Favoriten,48.17979,16.3748,Private room,40,1,26,2023-08-30,3.77,12,28,26,
816113656456021232,Rental unit in Vienna · ★4.61 · 1 bedroom · 1 bed · 1 bath,324804658,Anna,,Neubau,48.201977072628274,16.354218018977257,Entire home/apt,55,1,57,2023-07-20,8.22,1,0,57,
809082713180440863,Rental unit in Vienna · ★4.96 · 1 bedroom · 2 beds · 1 bath,418758793,Rick,,Rudolfsheim-Fnfhaus,48.196908710901916,16.327665943795886,Entire home/apt,85,2,50,2023-09-06,7.08,1,70,50,
816382241932543591,Rental unit in Vienna · ★4.75 · 1 bedroom · 2 beds · 1 bath,498828147,Sara,,Favoriten,48.17132969385829,16.36476382625055,Entire home/apt,75,1,4,2023-07-07,0.77,1,327,4,
816412496997739732,Aparthotel in Vienna · 1 bedroom · 3 beds · 1 bath,123181809,Panajotis,,Landstra§e,48.20464690682599,16.38676222063813,Entire home/apt,202,2,1,2023-05-21,0.27,5,0,1,
809182925784434906,Rental unit in Vienna · ★4.30 · 1 bedroom · 1 bed · 1 shared bath,496917260,Majde,,Brigittenau,48.23708030571007,16.38322593960327,Private room,51,1,20,2023-09-03,2.79,19,9,20,
816437689083465828,Rental unit in Vienna · 2 bedrooms · 2 beds · 1 bath,187309125,Henrike,,Ottakring,48.21334042454699,16.337994282373327,Entire home/apt,60,1,0,,,1,0,0,
809237219187785340,Rental unit in Vienna · ★4.0 · 1 bedroom · 2 beds · 1 shared bath,496917260,Majde,,Brigittenau,48.23861,16.38342,Private room,59,1,9,2023-09-03,1.22,19,9,9,
809401599730024805,Rental unit in Vienna · ★4.92 · 1 bedroom · 2 beds · 1 bath,110117807,Marie Sidonie,,Landstra§e,48.2033661,16.3845737,Entire home/apt,114,2,13,2023-09-02,2.60,1,293,13,
